CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION,,
2020;Cartago;Bachillerato: Arquitectura Tecnica;Bachillerato;Abandono Voluntario;Hombres;8;5;1;0;;;31/05/2021,,
2020;Cartago;Bachillerato: Arquitectura Tecnica;Bachillerato;Abandono Voluntario;Mujeres;7;2;0;0;;;31/05/2021,,
2020;Cartago;Bachillerato: Arquitectura Tecnica;Bachillerato;Graduado;Hombres;10;0;0;0;6.50;71.64;31/05/2021,,
2020;Cartago;Bachillerato: Arquitectura Tecnica;Bachillerato;Graduado;Mujeres;6;0;0;0;6.75;72.08;31/05/2021,,
2020;Cartago;Bachillerato: Ingenieria Civil;Bachillerato;Abandono Voluntario;Hombres;3;13;1;0;;;31/05/2021,,
2020;Cartago;Bachillerato: Ingenieria Civil;Bachillerato;Abandono Voluntario;Mujeres;1;3;0;0;;;31/05/2021,,
2020;Cartago;Bachillerato: Ingenieria Civil;Bachillerato;Cambio de estudios sin simultaneidad;Mujeres;3;1;0;0;;;31/05/2021,,
2020;Cartago;Bachillerato: Ingenieria Civil;Bachillerato;Graduado;Hombres;7;0;0;0;6.00;83.28;31/05/2021,,
2020;Cartago;Bachillerato: Ingenieria Civil;Bachillerato;Graduado;Mujeres;2;0;0;0;7.00;61.74;31/05/2021,,
2020;Cartago;Bachillerato: Ingenieria de Organizacion Industrial;Bachillerato;Abandono Voluntario;Hombres;4;11;7;0;;;31/05/2021,,
2020;Cartago;Bachillerato: Ingenieria de Organizacion Industrial;Bachillerato;Abandono Voluntario;Mujeres;4;1;1;0;;;31/05/2021,,
2020;Cartago;Bachillerato: Ingenieria de Organizacion Industrial;Bachillerato;Cambio de estudios sin simultaneidad;Hombres;3;1;1;0;;;31/05/2021,,
2019;Cartago;Bachillerato: Ingenieria de Organizacion Industrial;Bachillerato;Graduado;Hombres;17;0;0;0;5.00;82.87;31/05/2021,,
2019;Cartago;Bachillerato: Ingenieria de Organizacion Industrial;Bachillerato;Graduado;Mujeres;3;0;0;0;4.50;96.30;31/05/2021,,
2019;Cartago;Bachillerato: Ingenieria de Organizacion Industrial;Bachillerato;Incumple Regimen de permanencia;Hombres;0;1;1;0;;;31/05/2021,,
2019;Cartago;Bachillerato: Ingenieria Mecatronica;Bachillerato;Abandono Voluntario;Hombres;0;13;5;0;;;31/05/2021,,
2019;Cartago;Bachillerato: Ingenieria Mecatronica;Bachillerato;Cambio de estudios sin simultaneidad;Hombres;0;5;5;0;;;31/05/2021,,
2019;Cartago;Bachillerato: Ingenieria Mecatronica;Bachillerato;Graduado;Hombres;15;0;0;0;5.07;89.78;31/05/2021,,
2019;Cartago;Bachillerato: Ingenieria Mecatronica;Bachillerato;Graduado;Mujeres;3;0;0;0;4.00;100.00;31/05/2021,,
2019;Cartago;Bachillerato: Ingenieria Mecatronica;Bachillerato;Incumple Regimen de permanencia;Hombres;0;1;1;0;;;31/05/2021,,
2018;Heredia;Bachillerato: Administracion y Direccion de Empresas;Bachillerato;Abandono Voluntario;Hombres;0;28;6;0;;;31/05/2021,,
2020;Heredia;Bachillerato: Administracion y Direccion de Empresas;Bachillerato;Abandono Voluntario;Mujeres;0;22;3;0;;;31/05/2021,,
2020;Heredia;Bachillerato: Administracion y Direccion de Empresas;Bachillerato;Cambio de estudios sin simultaneidad;Hombres;0;1;0;0;;;31/05/2021,,
2020;Heredia;Bachillerato: Administracion y Direccion de Empresas;Bachillerato;Cambio de estudios sin simultaneidad;Mujeres;0;4;4;0;;;31/05/2021,,
2020;Heredia;Bachillerato: Administracion y Direccion de Empresas;Bachillerato;Graduado;Hombres;23;0;0;0;5.50;77.97;31/05/2021,,
2020;Heredia;Bachillerato: Administracion y Direccion de Empresas;Bachillerato;Graduado;Mujeres;8;0;0;0;4.67;92.43;31/05/2021,,
